,battery_power,blue,clock_speed,resolution,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,ram,talk_time,three_g,touch_screen,wifi,price_range
0,0.0842,0,0.22000000000000003,2.399999999390476e-13,0,0.01,0,0.07,0.6,0.188,0.2,0.02,0.2549,0.19,0,0,1,1
1,0.1021,1,0.05,3.527725488812656e-11,1,0.0,1,0.53,0.7,0.136,0.3,0.06,0.2631,0.07,1,1,0,2
2,0.0563,1,0.05,9.851399994178718e-11,1,0.02,1,0.41,0.9,0.145,0.5,0.06,0.2603,0.09,1,1,0,2
3,0.0615,1,0.25,1.6966999996818687e-11,0,0.0,0,0.1,0.8,0.131,0.6,0.09,0.2769,0.11,1,0,0,2
4,0.1821,1,0.12,9.150599994280875e-11,0,0.13,1,0.44,0.6,0.141,0.2,0.14,0.1411,0.15,1,1,0,1
5,0.1859,0,0.05,9.768329401421768e-11,1,0.03,0,0.22,0.7,0.164,0.1,0.07,0.1067,0.1,1,0,0,1
6,0.1821,0,0.16999999999999998,3.729403845400793e-12,0,0.04,1,0.1,0.8,0.139,0.8,0.1,0.322,0.18,1,0,1,3
7,0.1954,0,0.05,1.2255999995148666e-11,1,0.0,0,0.24,0.8,0.187,0.4,0.0,0.07,0.05,1,1,1,0
8,0.1445,1,0.05,1.898211762696011e-11,0,0.0,0,0.53,0.7,0.174,0.7,0.14,0.1099,0.2,1,0,0,0
9,0.0509,1,0.06,7.32467368309255e-12,1,0.02,1,0.09,0.1,0.093,0.5,0.15,0.0513,0.12,1,0,0,0
10,0.0769,1,0.29,2.167519998482736e-11,1,0.0,0,0.09,0.1,0.182,0.5,0.01,0.3946,0.07,0,0,0,3
11,0.152,1,0.22000000000000003,1.2044047616849102e-12,0,0.05,1,0.33,0.5,0.177,0.8,0.18,0.3826,0.13,1,1,1,3
12,0.1815,0,0.27999999999999997,0.025224222220820876,0,0.02,0,0.33,0.6,0.159,0.4,0.17,0.1482,0.02,1,0,0,1
13,0.0803,1,0.21000000000000002,7.076571420483918e-11,0,0.07,0,0.17,1.0,0.198,0.4,0.11,0.268,0.04,1,0,1,2
14,0.1866,0,0.05,1.590698412408047e-12,0,0.13,1,0.52,0.7,0.185,0.1,0.17,0.0373,0.03,1,0,1,0
15,0.0775,0,0.1,6.301050979601436e-12,0,0.03,0,0.46,0.7,0.159,0.2,0.16,0.0568,0.11,1,1,1,0
16,0.0838,0,0.05,2.0226666662396595e-11,0,0.01,1,0.13,0.1,0.196,0.8,0.04,0.3554,0.19,1,0,1,3
17,0.0595,0,0.09,1.7860499989283696e-11,1,0.07,1,0.23,0.1,0.121,0.3,0.17,0.3752,0.18,1,1,0,3
18,0.1131,1,0.05,2.338963562450013e-12,1,0.11,0,0.49,0.6,0.101,0.5,0.18,0.1835,0.16,1,1,0,1
19,0.0682,1,0.05,8.724799990482036e-11,0,0.04,0,0.19,1.0,0.121,0.4,0.11,0.2337,0.18,0,1,1,1
20,0.0772,0,0.11000000000000001,9.553552939977593e-12,1,0.12,0,0.39,0.8,0.081,0.7,0.14,0.2819,0.03,1,1,0,3
21,0.1709,1,0.21000000000000002,7.935235285715632e-11,0,0.01,0,0.13,1.0,0.156,0.2,0.02,0.3283,0.15,1,0,0,3
22,0.1949,0,0.26,6.082799998230458e-12,1,0.04,0,0.47,0.3,0.199,0.4,0.07,0.1433,0.2,0,0,1,1
23,0.1602,1,0.27999999999999997,6.557285712529299e-12,1,0.04,1,0.38,0.7,0.114,0.3,0.2,0.1037,0.2,1,0,0,0
24,0.0503,0,0.12,0.022749545452477316,1,0.05,1,0.08,0.4,0.111,0.3,0.13,0.2583,0.12,1,0,0,1
25,0.0961,1,0.13999999999999999,2.575888888459574e-12,1,0.0,1,0.57,0.6,0.114,0.8,0.03,0.2782,0.07,1,1,1,2
26,0.0519,1,0.16,2.217187497644238e-11,1,0.07,1,0.51,0.3,0.132,0.4,0.19,0.3763,0.04,1,0,1,3
27,0.0956,0,0.05,4.039154411022214e-12,0,0.01,1,0.41,1.0,0.143,0.7,0.06,0.3286,0.12,1,1,0,3
28,0.1453,0,0.16,2.451569997303273e-11,1,0.12,1,0.52,0.3,0.096,0.2,0.18,0.2373,0.1,1,1,1,2
29,0.0851,0,0.05,1.760682142458893e-11,0,0.03,0,0.21,0.4,0.2,0.5,0.07,0.0478,0.1,1,0,1,0
30,0.1579,1,0.05,1.262867379490052e-11,1,0.0,0,0.05,0.2,0.088,0.7,0.09,0.3532,0.12,0,0,1,3
31,0.1568,1,0.05,5.402039993517552e-11,0,0.16,0,0.33,1.0,0.15,0.8,0.2,0.0508,0.06,1,1,1,0
32,0.1319,1,0.09,1.0879999997219556e-12,0,0.03,1,0.41,0.9,0.107,0.1,0.18,0.2227,0.03,1,1,1,1
33,0.131,1,0.22000000000000003,0.048797428564457505,1,0.0,1,0.51,0.6,0.1,0.4,0.0,0.3845,0.12,1,1,0,3
34,0.0644,1,0.27,2.283258330859803e-11,0,0.0,0,0.22,0.7,0.157,0.8,0.03,0.1262,0.15,1,0,0,0
35,0.0725,0,0.13,3.5409149987606796e-11,1,0.16,0,0.6,0.4,0.16,0.8,0.17,0.1326,0.15,1,0,0,1
36,0.0589,1,0.22999999999999998,3.8421428562984295e-12,1,0.01,0,0.61,0.6,0.16,0.4,0.1,0.2113,0.02,1,0,1,1
37,0.1725,1,0.16,2.6532099990271563e-11,1,0.06,1,0.06,0.5,0.119,0.2,0.18,0.3429,0.04,1,1,0,3
38,0.079,0,0.2,4.221833328407861e-11,1,0.16,1,0.11,0.3,0.087,0.6,0.17,0.3169,0.02,1,0,1,2
39,0.056,0,0.05,1.0813074072572256e-11,1,0.15,0,0.5,0.3,0.159,0.2,0.2,0.215,0.11,1,1,0,2
40,0.1347,0,0.29,1.1657722215745711e-11,0,0.05,0,0.44,0.6,0.132,0.1,0.14,0.2484,0.11,1,0,1,2
41,0.1646,1,0.22999999999999998,1.851499999711989e-11,0,0.08,1,0.41,0.2,0.185,0.2,0.1,0.3339,0.19,1,1,0,3
42,0.1253,1,0.05,0.03260599999782626,1,0.05,1,0.05,0.2,0.152,0.2,0.19,0.1878,0.04,1,1,0,1
43,0.1656,0,0.1,7.118222221154488e-12,0,0.05,1,0.34,0.1,0.166,0.3,0.07,0.1629,0.14,1,1,0,1
44,0.1195,1,0.27999999999999997,9.667259254962698e-11,0,0.01,1,0.2,0.8,0.11,0.2,0.14,0.0504,0.12,1,1,0,0
45,0.1514,0,0.29,1.4027499993570728e-11,0,0.0,0,0.27,0.2,0.118,0.3,0.01,0.1152,0.2,0,1,1,1
