,battery_power,blue,clock_speed,screen_size,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,talk_time,three_g,touch_screen,wifi,price_range
0,0.0842,0,0.22000000000000003,0.063,0,0.01,0,0.07,0.6,0.188,0.2,0.02,0.002,0.0756,0.2549,0.19,0,0,1,1
1,0.1021,1,0.05,0.051,1,0.0,1,0.53,0.7,0.136,0.3,0.06,0.0905,0.1988,0.2631,0.07,1,1,0,2
2,0.0563,1,0.05,0.022,1,0.02,1,0.41,0.9,0.145,0.5,0.06,0.1263,0.1716,0.2603,0.09,1,1,0,2
3,0.0615,1,0.25,0.128,0,0.0,0,0.1,0.8,0.131,0.6,0.09,0.1216,0.1786,0.2769,0.11,1,0,0,2
4,0.1821,1,0.12,0.016,0,0.13,1,0.44,0.6,0.141,0.2,0.14,0.1208,0.1212,0.1411,0.15,1,1,0,1
5,0.1859,0,0.05,0.017,1,0.03,0,0.22,0.7,0.164,0.1,0.07,0.1004,0.1654,0.1067,0.1,1,0,0,1
6,0.1821,0,0.16999999999999998,0.104,0,0.04,1,0.1,0.8,0.139,0.8,0.1,0.0381,0.1018,0.322,0.18,1,0,1,3
7,0.1954,0,0.05,0.048,1,0.0,0,0.24,0.8,0.187,0.4,0.0,0.0512,0.1149,0.07,0.05,1,1,1,0
8,0.1445,1,0.05,0.017,0,0.0,0,0.53,0.7,0.174,0.7,0.14,0.0386,0.0836,0.1099,0.2,1,0,0,0
9,0.0509,1,0.06,0.19,1,0.02,1,0.09,0.1,0.093,0.5,0.15,0.1137,0.1224,0.0513,0.12,1,0,0,0
10,0.0769,1,0.29,0.01,1,0.0,0,0.09,0.1,0.182,0.5,0.01,0.0248,0.0874,0.3946,0.07,0,0,0,3
11,0.152,1,0.22000000000000003,0.126,0,0.05,1,0.33,0.5,0.177,0.8,0.18,0.0151,0.1005,0.3826,0.13,1,1,1,3
12,0.1815,0,0.27999999999999997,0.0,0,0.02,0,0.33,0.6,0.159,0.4,0.17,0.0607,0.0748,0.1482,0.02,1,0,0,1
13,0.0803,1,0.21000000000000002,0.007,0,0.07,0,0.17,1.0,0.198,0.4,0.11,0.0344,0.144,0.268,0.04,1,0,1,2
14,0.1866,0,0.05,0.126,0,0.13,1,0.52,0.7,0.185,0.1,0.17,0.0356,0.0563,0.0373,0.03,1,0,1,0
15,0.0775,0,0.1,0.255,0,0.03,0,0.46,0.7,0.159,0.2,0.16,0.0862,0.1864,0.0568,0.11,1,1,1,0
16,0.0838,0,0.05,0.09,0,0.01,1,0.13,0.1,0.196,0.8,0.04,0.0984,0.185,0.3554,0.19,1,0,1,3
17,0.0595,0,0.09,0.02,1,0.07,1,0.23,0.1,0.121,0.3,0.17,0.0441,0.081,0.3752,0.18,1,1,0,3
18,0.1131,1,0.05,0.247,1,0.11,0,0.49,0.6,0.101,0.5,0.18,0.0658,0.0878,0.1835,0.16,1,1,0,1
19,0.0682,1,0.05,0.011,0,0.04,0,0.19,1.0,0.121,0.4,0.11,0.0902,0.1064,0.2337,0.18,0,1,1,1
20,0.0772,0,0.11000000000000001,0.255,1,0.12,0,0.39,0.8,0.081,0.7,0.14,0.1314,0.1854,0.2819,0.03,1,1,0,3
21,0.1709,1,0.21000000000000002,0.017,0,0.01,0,0.13,1.0,0.156,0.2,0.02,0.0974,0.1385,0.3283,0.15,1,0,0,3
22,0.1949,0,0.26,0.055,1,0.04,0,0.47,0.3,0.199,0.4,0.07,0.0407,0.0822,0.1433,0.2,0,0,1,1
23,0.1602,1,0.27999999999999997,0.056,1,0.04,1,0.38,0.7,0.114,0.3,0.2,0.0466,0.0788,0.1037,0.2,1,0,0,0
24,0.0503,0,0.12,0.0,1,0.05,1,0.08,0.4,0.111,0.3,0.13,0.0201,0.1245,0.2583,0.12,1,0,0,1
25,0.0961,1,0.13999999999999999,0.162,1,0.0,1,0.57,0.6,0.114,0.8,0.03,0.0291,0.1434,0.2782,0.07,1,1,1,2
26,0.0519,1,0.16,0.016,1,0.07,1,0.51,0.3,0.132,0.4,0.19,0.055,0.0645,0.3763,0.04,1,0,1,3
27,0.0956,0,0.05,0.136,0,0.01,1,0.41,1.0,0.143,0.7,0.06,0.0511,0.1075,0.3286,0.12,1,1,0,3
28,0.1453,0,0.16,0.01,1,0.12,1,0.52,0.3,0.096,0.2,0.18,0.0187,0.1311,0.2373,0.1,1,1,1,2
29,0.0851,0,0.05,0.084,0,0.03,0,0.21,0.4,0.2,0.5,0.07,0.1171,0.1263,0.0478,0.1,1,0,1,0
30,0.1579,1,0.05,0.187,1,0.0,0,0.05,0.2,0.088,0.7,0.09,0.1358,0.1739,0.3532,0.12,0,0,1,3
31,0.1568,1,0.05,0.005,0,0.16,0,0.33,1.0,0.15,0.8,0.2,0.0413,0.0654,0.0508,0.06,1,1,1,0
32,0.1319,1,0.09,0.09,0,0.03,1,0.41,0.9,0.107,0.1,0.18,0.0085,0.1152,0.2227,0.03,1,1,1,1
33,0.131,1,0.22000000000000003,0.0,1,0.0,1,0.51,0.6,0.1,0.4,0.0,0.0178,0.1919,0.3845,0.12,1,1,0,3
34,0.0644,1,0.27,0.012,0,0.0,0,0.22,0.7,0.157,0.8,0.03,0.0311,0.0881,0.1262,0.15,1,0,0,0
35,0.0725,0,0.13,0.04,1,0.16,0,0.6,0.4,0.16,0.8,0.17,0.1134,0.1249,0.1326,0.15,1,0,0,1
36,0.0589,1,0.22999999999999998,0.091,1,0.01,0,0.61,0.6,0.16,0.4,0.1,0.0429,0.0815,0.2113,0.02,1,0,1,1
37,0.1725,1,0.16,0.03,1,0.06,1,0.06,0.5,0.119,0.2,0.18,0.0609,0.1307,0.3429,0.04,1,1,0,3
38,0.079,0,0.2,0.006,1,0.16,1,0.11,0.3,0.087,0.6,0.17,0.0347,0.073,0.3169,0.02,1,0,1,2
39,0.056,0,0.05,0.216,1,0.15,0,0.5,0.3,0.159,0.2,0.2,0.1448,0.1613,0.215,0.11,1,1,0,2
40,0.1347,0,0.29,0.036,0,0.05,0,0.44,0.6,0.132,0.1,0.14,0.0434,0.0967,0.2484,0.11,1,0,1,2
41,0.1646,1,0.22999999999999998,0.18,0,0.08,1,0.41,0.2,0.185,0.2,0.1,0.1725,0.1932,0.3339,0.19,1,1,0,3
42,0.1253,1,0.05,0.0,1,0.05,1,0.05,0.2,0.152,0.2,0.19,0.0685,0.0714,0.1878,0.04,1,1,0,1
43,0.1656,0,0.1,0.18,0,0.05,1,0.34,0.1,0.166,0.3,0.07,0.088,0.1456,0.1629,0.14,1,1,0,1
44,0.1195,1,0.27999999999999997,0.027,0,0.01,1,0.2,0.8,0.11,0.2,0.14,0.158,0.1652,0.0504,0.12,1,1,0,0
45,0.1514,0,0.29,0.024,0,0.0,0,0.27,0.2,0.118,0.3,0.01,0.0186,0.181,0.1152,0.2,0,1,1,1
46,0.1723,1,0.11000000000000001,0.05,1,0.01,0,0.42,1.0,0.164,0.8,0.14,0.0202,0.1791,0.3587,0.03,1,0,0,3
47,0.1054,1,0.18,0.192,1,0.03,1,0.4,0.8,0.196,0.7,0.1,0.0027,0.0774,0.2296,0.12,1,0,1,1
48,0.0578,1,0.26,0.045,1,0.02,1,0.57,0.2,0.162,0.8,0.08,0.1025,0.1433,0.127,0.05,1,0,1,0
49,0.0596,0,0.21000000000000002,0.208,1,0.09,0,0.64,0.8,0.111,0.8,0.15,0.0885,0.1854,0.3238,0.1,0,0,0,3
50,0.1547,1,0.3,0.0,1,0.02,1,0.14,0.7,0.198,0.3,0.19,0.1042,0.1832,0.2059,0.15,1,0,1,2
51,0.176,0,0.13999999999999999,0.228,1,0.05,0,0.63,0.8,0.127,0.8,0.19,0.1382,0.1383,0.2053,0.16,0,1,0,2
52,0.1654,1,0.15,0.06,1,0.0,1,0.43,0.3,0.109,0.2,0.0,0.0546,0.0629,0.3112,0.1,1,1,0,3
53,0.1457,0,0.19,0.136,1,0.01,1,0.16,0.3,0.102,0.3,0.1,0.1013,0.1287,0.144,0.12,1,0,1,1
54,0.1073,1,0.05,0.0,1,0.0,0,0.51,0.5,0.145,0.7,0.0,0.069,0.0804,0.2908,0.18,0,1,0,2
55,0.1936,0,0.21000000000000002,0.098,1,0.1,1,0.46,0.6,0.104,0.3,0.2,0.0667,0.1036,0.2552,0.13,1,0,0,2
56,0.0823,1,0.27,0.154,1,0.13,0,0.6,0.5,0.148,0.8,0.19,0.0822,0.1449,0.0905,0.17,1,1,1,0
57,0.0987,0,0.13,0.036,1,0.0,1,0.61,0.4,0.107,0.3,0.09,0.0581,0.082,0.3963,0.2,1,0,1,3
58,0.1757,0,0.05,0.035,0,0.08,0,0.49,0.5,0.18,0.6,0.14,0.0265,0.0713,0.2056,0.04,0,0,0,1
59,0.1063,0,0.13999999999999999,0.195,1,0.02,1,0.48,1.0,0.128,0.5,0.04,0.0127,0.0683,0.291,0.09,1,1,1,2
60,0.1484,0,0.3,0.056,0,0.03,0,0.12,0.6,0.134,0.3,0.05,0.0916,0.0969,0.1457,0.2,1,1,0,1
61,0.0799,1,0.22999999999999998,0.09,0,0.01,1,0.63,0.8,0.144,0.8,0.06,0.0361,0.0975,0.0431,0.06,1,1,1,0
62,0.1156,1,0.12,0.0,1,0.0,1,0.5,0.8,0.159,0.2,0.0,0.0322,0.0547,0.047,0.15,1,1,0,0
63,0.172,0,0.2,0.028,0,0.15,1,0.55,0.5,0.168,0.2,0.18,0.0753,0.1353,0.2148,0.05,1,1,1,2
64,0.0702,0,0.26,0.04,1,0.02,1,0.09,0.7,0.141,0.3,0.03,0.0504,0.157,0.2955,0.19,1,0,0,2
65,0.0616,0,0.19,0.144,1,0.13,1,0.44,0.8,0.081,0.3,0.17,0.0651,0.1618,0.3366,0.13,1,1,0,3
66,0.1358,1,0.05,0.036,0,0.11,1,0.36,0.3,0.155,0.4,0.14,0.1565,0.1858,0.3068,0.04,1,1,0,3
67,0.1866,0,0.13999999999999999,0.176,0,0.0,0,0.3,0.5,0.182,0.3,0.0,0.0108,0.1781,0.3834,0.08,0,0,0,3
